Ticket_ID,DateTime_x,Type,Comment_ID,T_Zero,T_End,Duration,Content_y,Topics,Topics_text
594ec8fe40092d58008b4686,2017-06-24 20:18:06.000,Ticket,5a60ca21018ff529a86a75b6,2017-06-24 20:18:06.000,2017-06-24 20:18:06.000,,"Grüezi Mr. , with us there is no hot water flowing in the bathroom. Sincerely,    ",0,Water
594ecc663ce98358008b4641,2017-06-24 20:32:38.000,Ticket,594eccf93ce98353008b4b45,2017-06-24 20:32:38.000,2017-06-24 20:35:05.000,,".  Grüezi Mr. , with us there is no hot water flowing in the bathroom. Sincerely,    ",0,Water
5953efa6edb46b57008b45aa,2017-06-28 18:04:22.000,Ticket,5a60ca24018ff529a86a75d9,2017-06-28 18:04:22.000,2017-06-28 18:04:22.000,,.  Dishwasher not running - error code 10 - no water running into the appliance   ,8,washing_machine
595625d4d570fa58008b4614,2017-06-30 10:20:04.000,Ticket,595626bed570fa53008b4644,2017-06-30 10:20:04.000,2017-06-30 10:29:24.000,,.  The Big Markiese on the balcony is crooked - right arm has 10-15cm deeper than left. But it works   ,21,Balcony
59562640d570fa57008b4612,2017-06-30 10:21:52.000,Ticket,5968fbf65c5d6d58008b45ac,2017-06-30 10:21:52.000,2017-07-26 20:15:27.000,26.0,.  Grid boundary balcony: it lacks 2 screws - with the neighbors it is not missing....   ,21,Balcony
59562697d570fa53008b4641,2017-06-30 10:23:19.000,Ticket,595639a6d570fa5b008b461d,2017-06-30 10:23:19.000,2017-06-30 11:44:38.000,,.  Our bell is switched incorrectly at the entrance towards the railway tracks - we hear nothing - for this always an unkn neighbor opens us   ,6,intercom
595b4ed3b82c0156008b4e7d,2017-07-04 08:16:19.000,Ticket,596d18f1f269df57008b45e9,2017-07-04 08:16:19.000,2017-11-20 16:12:16.000,139.0,.  Guten tag herr  bei kůhlschrank eine war kaput.schone tag  From the osman   ,-1,Divers
5968fc645c5d6d56008b45b1,2017-07-14 17:16:20.000,Ticket,596d19dbf269df54008b45f2,2017-07-14 17:16:20.000,2017-07-26 20:17:51.000,12.0,".  Spuelmaschien, upper haengekorb is the rail bracket left broken (plastic head) or missing a whole piece   ",19,Curtain
596bcbc4e88da152008b469c,2017-07-16 20:25:40.000,Ticket,5978f88c2b4f7f53008b4cd7,2017-07-16 20:25:40.000,2017-07-26 20:16:12.000,9.0,".  Front door . The screws that hold the locking mechanism are loose. This leads to the fact that the door is sometimes really not openable, even if the key can be turned. The door seems to be quite unprofessionally cobbled together in this area. Many of the screws are crooked or seem to have a twisted head. I think with a cordless screwdriver with the right insert, the thing would be quickly improved, if the screws are not already too taken. Sincerely,    ",7,Door
596c450ae88da158008b4691,2017-07-17 05:03:06.000,Ticket,596d198cf269df59008b45f5,2017-07-17 05:03:06.000,2017-07-17 20:09:48.000,,".  Door in the basement passage to the garage, 3BS ddress>ddress> clamps / does not close properly   ",-1,Divers
